LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
1,Naive,2000,8,Multiplicative 0.08,16000,8,1,60362192.68,65611079,70859965.32,,0,0,0,0,0,0,0,0
1,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65611079,70702330.68,,0,0,0,0,0,0,0,0
1,SKV,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65611079,70702330.68,,0,0,0,0,0,0,0,0
1,Vector,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65611079,70702330.68,,0,0,0,0,0,0,0,0
1,Value,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65611079,70702330.68,,0,0,0,0,0,0,0,0
1,Dist L2,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65611079,70702330.68,,0,0,0,0,0,0,0,0
1,SKD,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65611079,70702330.68,,0,0,0,0,0,0,0,0
2,Naive,2000,8,Multiplicative 0.08,32000,16,2,60514131.6,65776230,71038328.4,,0,0,0,0,0,0,0,0
2,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65776230,70702330.68,,0,0,0,0,0,0,0,0
2,SKV,2000,8,Multiplicative 0.08,4,5,0,60227911.32,65776230,70702330.68,,0,0,0,0,0,0,0,0
2,Value,2000,8,Multiplicative 0.08,4,5,0,60227911.32,65776230,70702330.68,,0,0,0,0,0,0,0,0
2,Vector,2000,8,Multiplicative 0.08,8000,5,0,60227911.32,65776230,70702330.68,,0,0,0,0,0,0,0,0
2,Dist L2,2000,8,Multiplicative 0.08,4,5,0,60227911.32,65776230,70702330.68,,0,0,0,0,0,0,0,0
2,SKD,2000,8,Multiplicative 0.08,4,5,0,60227911.32,65776230,70702330.68,,0,0,0,0,0,0,0,0
3,Naive,2000,8,Multiplicative 0.08,48000,24,3,60453363.76,65710178,70966992.24,,0,0,0,0,0,0,0,0
3,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65710178,70702330.68,,0,0,0,0,0,0,0,0
3,Value,2000,8,Multiplicative 0.08,12,15,0,60227911.32,65710178,70702330.68,,0,0,0,0,0,0,0,0
3,SKV,2000,8,Multiplicative 0.08,12,15,0,60227911.32,65710178,70702330.68,,0,0,0,0,0,0,0,0
3,Vector,2000,8,Multiplicative 0.08,16000,10,0,60227911.32,65710178,70702330.68,,0,0,0,0,0,0,0,0
3,Dist L2,2000,8,Multiplicative 0.08,12,15,0,60227911.32,65710178,70702330.68,,0,0,0,0,0,0,0,0
3,SKD,2000,8,Multiplicative 0.08,12,15,0,60227911.32,65710178,70702330.68,,0,0,0,0,0,0,0,0
4,Naive,2000,8,Multiplicative 0.08,64000,32,4,60749494.28,66032059,71314623.72,,0,0,0,0,0,0,0,0
4,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,66032059,70702330.68,,0,0,0,0,0,0,0,0
4,SKV,2000,8,Multiplicative 0.08,12,15,0,60227911.32,66032059,70702330.68,,0,0,0,0,0,0,0,0
4,Value,2000,8,Multiplicative 0.08,20,25,0,60227911.32,66032059,70702330.68,,0,0,0,0,0,0,0,0
4,Vector,2000,8,Multiplicative 0.08,24000,15,0,60227911.32,66032059,70702330.68,,0,0,0,0,0,0,0,0
4,SKD,2000,8,Multiplicative 0.08,12,15,0,60227911.32,66032059,70702330.68,,0,0,0,0,0,0,0,0
4,Dist L2,2000,8,Multiplicative 0.08,18,22,0,60227911.32,66032059,70702330.68,,0,0,0,0,0,0,0,0
5,Naive,2000,8,Multiplicative 0.08,80000,40,5,60811080,66099000,71386920,,0,0,0,0,0,0,0,0
5,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,66099000,70702330.68,,0,0,0,0,0,0,0,0
5,Value,2000,8,Multiplicative 0.08,28,34,0,60227911.32,66099000,70702330.68,,0,0,0,0,0,0,0,0
5,SKV,2000,8,Multiplicative 0.08,16,20,0,60227911.32,66099000,70702330.68,,0,0,0,0,0,0,0,0
5,Vector,2000,8,Multiplicative 0.08,32000,20,0,60227911.32,66099000,70702330.68,,0,0,0,0,0,0,0,0
5,Dist L2,2000,8,Multiplicative 0.08,22,27,0,60227911.32,66099000,70702330.68,,0,0,0,0,0,0,0,0
5,SKD,2000,8,Multiplicative 0.08,20,25,0,60227911.32,66099000,70702330.68,,0,0,0,0,0,0,0,0
6,Naive,2000,8,Multiplicative 0.08,96000,48,6,60700645.96,65978963,71257280.04,,0,0,0,0,0,0,0,0
6,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,65978963,70702330.68,,0,0,0,0,0,0,0,0
6,SKV,2000,8,Multiplicative 0.08,24,29,0,60227911.32,65978963,70702330.68,,0,0,0,0,0,0,0,0
6,Value,2000,8,Multiplicative 0.08,40,50,0,60227911.32,65978963,70702330.68,,0,0,0,0,0,0,0,0
6,Vector,2000,8,Multiplicative 0.08,40000,25,0,60227911.32,65978963,70702330.68,,0,0,0,0,0,0,0,0
6,SKD,2000,8,Multiplicative 0.08,28,35,0,60227911.32,65978963,70702330.68,,0,0,0,0,0,0,0,0
6,Dist L2,2000,8,Multiplicative 0.08,26,32,0,60227911.32,65978963,70702330.68,,0,0,0,0,0,0,0,0
7,Naive,2000,8,Multiplicative 0.08,112000,56,7,60897100,66192500,71487900,,0,0,0,0,0,0,0,0
7,Oracle,2000,8,Multiplicative 0.08,0,0,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,Value,2000,8,Multiplicative 0.08,54,66,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,SKV,2000,8,Multiplicative 0.08,38,46,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,Vector,2000,8,Multiplicative 0.08,56000,35,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,Dist L2,2000,8,Multiplicative 0.08,32,39,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
7,SKD,2000,8,Multiplicative 0.08,42,51,0,60227911.32,66192500,70702330.68,,0,0,0,0,0,0,0,0
8,Naive,2000,8,Multiplicative 0.08,128000,64,8,60480618.76,65739803,70998987.24,,0,0,0,0,0,0,0,0
