LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144,Server 145,Server 146,Server 147,Server 148,Server 149,Server 150,Server 151,Server 152,Server 153,Server 154,Server 155,Server 156,Server 157,Server 158,Server 159,Server 160,Server 161,Server 162,Server 163,Server 164,Server 165,Server 166,Server 167,Server 168,Server 169,Server 170,Server 171,Server 172,Server 173,Server 174,Server 175,Server 176,Server 177,Server 178,Server 179,Server 180,Server 181,Server 182,Server 183,Server 184,Server 185,Server 186,Server 187,Server 188,Server 189,Server 190,Server 191,Server 192,Server 193,Server 194,Server 195,Server 196,Server 197,Server 198,Server 199,Server 200,Server 201,Server 202,Server 203,Server 204,Server 205,Server 206,Server 207,Server 208,Server 209,Server 210,Server 211,Server 212,Server 213,Server 214,Server 215,Server 216,Server 217,Server 218,Server 219,Server 220,Server 221,Server 222,Server 223,Server 224,Server 225,Server 226,Server 227,Server 228,Server 229,Server 230,Server 231,Server 232,Server 233,Server 234,Server 235,Server 236,Server 237,Server 238,Server 239,Server 240,Server 241,Server 242,Server 243,Server 244,Server 245,Server 246,Server 247,Server 248,Server 249,Server 250,Server 251,Server 252,Server 253,Server 254,Server 255,Server 256,Server 257,Server 258,Server 259,Server 260,Server 261,Server 262,Server 263,Server 264,Server 265,Server 266,Server 267,Server 268,Server 269,Server 270,Server 271,Server 272,Server 273,Server 274,Server 275,Server 276,Server 277,Server 278,Server 279,Server 280,Server 281,Server 282,Server 283,Server 284,Server 285,Server 286,Server 287,Server 288,Server 289
2,Oracle Vector,20402,289,Lower0.5Upper2,856884,53,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,19920,3153,45,1,0,0,0,0,0,0,0,0,0,0,0,42,6427,98853,9430875,20344839,2870834,1817,1,0,0,0,0,0,0,0,1,2,24,2038,5519,28385,3143825,7072053,606596,8899,25,0,0,0,0,0,0,0,0,0,16,1436,156,8330,6632,8478,617,974,95,0,0,0,0,0,0,0,0,0,1,26,1879,14295,0,3,4,7,0,0,0,0,0,0,0,0,2,3,239,35,30646,0,1,42,0,0,0,0,0,0,0,0,7,5,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,49633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,20402,289,Lower0.5Upper2,0,0,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,19920,3153,45,1,0,0,0,0,0,0,0,0,0,0,0,42,6427,98853,9430875,20344839,2870834,1817,1,0,0,0,0,0,0,0,1,2,24,2038,5519,28385,3143825,7072053,606596,8899,25,0,0,0,0,0,0,0,0,0,16,1436,156,8330,6632,8478,617,974,95,0,0,0,0,0,0,0,0,0,1,26,1879,14295,0,3,4,7,0,0,0,0,0,0,0,0,2,3,239,35,30646,0,1,42,0,0,0,0,0,0,0,0,7,5,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,49633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Naive,20402,289,Lower0.5Upper2,11792356,578,2,107811593,215623186,431246372,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,19920,3153,45,1,0,0,0,0,0,0,0,0,0,0,0,42,6427,98853,9430875,20344839,2870834,1817,1,0,0,0,0,0,0,0,1,2,24,2038,5519,28385,3143825,7072053,606596,8899,25,0,0,0,0,0,0,0,0,0,16,1436,156,8330,6632,8478,617,974,95,0,0,0,0,0,0,0,0,0,1,26,1879,14295,0,3,4,7,0,0,0,0,0,0,0,0,2,3,239,35,30646,0,1,42,0,0,0,0,0,0,0,0,7,5,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,49633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,20402,289,Lower0.5Upper2,404,577,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,19920,3153,45,1,0,0,0,0,0,0,0,0,0,0,0,42,6427,98853,9430875,20344839,2870834,1817,1,0,0,0,0,0,0,0,1,2,24,2038,5519,28385,3143825,7072053,606596,8899,25,0,0,0,0,0,0,0,0,0,16,1436,156,8330,6632,8478,617,974,95,0,0,0,0,0,0,0,0,0,1,26,1879,14295,0,3,4,7,0,0,0,0,0,0,0,0,2,3,239,35,30646,0,1,42,0,0,0,0,0,0,0,0,7,5,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,49633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,20402,289,Lower0.5Upper2,11793629,2854,1,95438569.5,190877139,381754278,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,18796,2915,27,1,0,0,0,0,0,0,0,0,0,0,0,17,4589,84802,8305188,18722565,2583301,1696,1,0,0,0,0,0,0,0,1,2,21,1208,3734,21869,2664880,6161231,513824,6714,19,0,0,0,0,0,0,0,0,0,11,925,116,6785,5034,7357,390,542,48,0,0,0,0,0,0,0,0,0,1,25,1493,14185,0,3,2,3,0,0,0,0,0,0,0,0,3,3,198,29,30585,0,1,38,0,0,0,0,0,0,0,0,7,5,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,49965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FGM,20402,289,Lower0.5Upper2,11795670,4181,1,95438569.5,190877139,381754278,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,18796,2915,27,1,0,0,0,0,0,0,0,0,0,0,0,17,4589,84802,8305188,18722565,2583301,1696,1,0,0,0,0,0,0,0,1,2,21,1208,3734,21869,2664880,6161231,513824,6714,19,0,0,0,0,0,0,0,0,0,11,925,116,6785,5034,7357,390,542,48,0,0,0,0,0,0,0,0,0,1,25,1493,14185,0,3,2,3,0,0,0,0,0,0,0,0,3,3,198,29,30585,0,1,38,0,0,0,0,0,0,0,0,7,5,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,49965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vector,20402,289,Lower0.5Upper2,11873964,824,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,18796,2915,27,1,0,0,0,0,0,0,0,0,0,0,0,17,4589,84802,8305188,18722565,2583301,1696,1,0,0,0,0,0,0,0,1,2,21,1208,3734,21869,2664880,6161231,513824,6714,19,0,0,0,0,0,0,0,0,0,11,925,116,6785,5034,7357,390,542,48,0,0,0,0,0,0,0,0,0,1,25,1493,14185,0,3,2,3,0,0,0,0,0,0,0,0,3,3,198,29,30585,0,1,38,0,0,0,0,0,0,0,0,7,5,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,49965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle Vector,20402,289,Lower0.5Upper2,1509748,94,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,18796,2915,27,1,0,0,0,0,0,0,0,0,0,0,0,17,4589,84802,8305188,18722565,2583301,1696,1,0,0,0,0,0,0,0,1,2,21,1208,3734,21869,2664880,6161231,513824,6714,19,0,0,0,0,0,0,0,0,0,11,925,116,6785,5034,7357,390,542,48,0,0,0,0,0,0,0,0,0,1,25,1493,14185,0,3,2,3,0,0,0,0,0,0,0,0,3,3,198,29,30585,0,1,38,0,0,0,0,0,0,0,0,7,5,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,49965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle,20402,289,Lower0.5Upper2,0,0,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,18796,2915,27,1,0,0,0,0,0,0,0,0,0,0,0,17,4589,84802,8305188,18722565,2583301,1696,1,0,0,0,0,0,0,0,1,2,21,1208,3734,21869,2664880,6161231,513824,6714,19,0,0,0,0,0,0,0,0,0,11,925,116,6785,5034,7357,390,542,48,0,0,0,0,0,0,0,0,0,1,25,1493,14185,0,3,2,3,0,0,0,0,0,0,0,0,3,3,198,29,30585,0,1,38,0,0,0,0,0,0,0,0,7,5,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,49965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Naive,20402,289,Lower0.5Upper2,17688534,867,3,95438569.5,190877139,381754278,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,18796,2915,27,1,0,0,0,0,0,0,0,0,0,0,0,17,4589,84802,8305188,18722565,2583301,1696,1,0,0,0,0,0,0,0,1,2,21,1208,3734,21869,2664880,6161231,513824,6714,19,0,0,0,0,0,0,0,0,0,11,925,116,6785,5034,7357,390,542,48,0,0,0,0,0,0,0,0,0,1,25,1493,14185,0,3,2,3,0,0,0,0,0,0,0,0,3,3,198,29,30585,0,1,38,0,0,0,0,0,0,0,0,7,5,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,49965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L2,20402,289,Lower0.5Upper2,770,1094,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,18796,2915,27,1,0,0,0,0,0,0,0,0,0,0,0,17,4589,84802,8305188,18722565,2583301,1696,1,0,0,0,0,0,0,0,1,2,21,1208,3734,21869,2664880,6161231,513824,6714,19,0,0,0,0,0,0,0,0,0,11,925,116,6785,5034,7357,390,542,48,0,0,0,0,0,0,0,0,0,1,25,1493,14185,0,3,2,3,0,0,0,0,0,0,0,0,3,3,198,29,30585,0,1,38,0,0,0,0,0,0,0,0,7,5,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,49965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,20402,289,Lower0.5Upper2,11793813,3118,1,95438569.5,171594294,381754278,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17827,2818,21,1,0,0,0,0,0,0,0,0,0,0,0,8,3081,74477,7303865,17206381,2328264,1608,0,0,0,0,0,0,0,0,1,2,11,723,2510,16698,2335525,5638773,456979,5322,14,0,0,0,0,0,0,0,1,0,8,635,64,5145,3768,6422,256,341,29,0,0,0,0,0,0,0,0,0,1,19,1136,14043,0,2,2,3,0,0,0,0,0,0,0,0,2,3,125,18,30522,0,1,36,0,0,0,0,0,0,0,0,7,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,49935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FGM,20402,289,Lower0.5Upper2,11795764,4275,1,95438569.5,171594294,381754278,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17827,2818,21,1,0,0,0,0,0,0,0,0,0,0,0,8,3081,74477,7303865,17206381,2328264,1608,0,0,0,0,0,0,0,0,1,2,11,723,2510,16698,2335525,5638773,456979,5322,14,0,0,0,0,0,0,0,1,0,8,635,64,5145,3768,6422,256,341,29,0,0,0,0,0,0,0,0,0,1,19,1136,14043,0,2,2,3,0,0,0,0,0,0,0,0,2,3,125,18,30522,0,1,36,0,0,0,0,0,0,0,0,7,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,49935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vector,20402,289,Lower0.5Upper2,19096272,1321,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17827,2818,21,1,0,0,0,0,0,0,0,0,0,0,0,8,3081,74477,7303865,17206381,2328264,1608,0,0,0,0,0,0,0,0,1,2,11,723,2510,16698,2335525,5638773,456979,5322,14,0,0,0,0,0,0,0,1,0,8,635,64,5145,3768,6422,256,341,29,0,0,0,0,0,0,0,0,0,1,19,1136,14043,0,2,2,3,0,0,0,0,0,0,0,0,2,3,125,18,30522,0,1,36,0,0,0,0,0,0,0,0,7,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,49935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle Vector,20402,289,Lower0.5Upper2,2081004,129,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17827,2818,21,1,0,0,0,0,0,0,0,0,0,0,0,8,3081,74477,7303865,17206381,2328264,1608,0,0,0,0,0,0,0,0,1,2,11,723,2510,16698,2335525,5638773,456979,5322,14,0,0,0,0,0,0,0,1,0,8,635,64,5145,3768,6422,256,341,29,0,0,0,0,0,0,0,0,0,1,19,1136,14043,0,2,2,3,0,0,0,0,0,0,0,0,2,3,125,18,30522,0,1,36,0,0,0,0,0,0,0,0,7,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,49935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle,20402,289,Lower0.5Upper2,0,0,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17827,2818,21,1,0,0,0,0,0,0,0,0,0,0,0,8,3081,74477,7303865,17206381,2328264,1608,0,0,0,0,0,0,0,0,1,2,11,723,2510,16698,2335525,5638773,456979,5322,14,0,0,0,0,0,0,0,1,0,8,635,64,5145,3768,6422,256,341,29,0,0,0,0,0,0,0,0,0,1,19,1136,14043,0,2,2,3,0,0,0,0,0,0,0,0,2,3,125,18,30522,0,1,36,0,0,0,0,0,0,0,0,7,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,49935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Naive,20402,289,Lower0.5Upper2,23584712,1156,4,85797147,171594294,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17827,2818,21,1,0,0,0,0,0,0,0,0,0,0,0,8,3081,74477,7303865,17206381,2328264,1608,0,0,0,0,0,0,0,0,1,2,11,723,2510,16698,2335525,5638773,456979,5322,14,0,0,0,0,0,0,0,1,0,8,635,64,5145,3768,6422,256,341,29,0,0,0,0,0,0,0,0,0,1,19,1136,14043,0,2,2,3,0,0,0,0,0,0,0,0,2,3,125,18,30522,0,1,36,0,0,0,0,0,0,0,0,7,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,49935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dist L2,20402,289,Lower0.5Upper2,1250,1776,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17827,2818,21,1,0,0,0,0,0,0,0,0,0,0,0,8,3081,74477,7303865,17206381,2328264,1608,0,0,0,0,0,0,0,0,1,2,11,723,2510,16698,2335525,5638773,456979,5322,14,0,0,0,0,0,0,0,1,0,8,635,64,5145,3768,6422,256,341,29,0,0,0,0,0,0,0,0,0,1,19,1136,14043,0,2,2,3,0,0,0,0,0,0,0,0,2,3,125,18,30522,0,1,36,0,0,0,0,0,0,0,0,7,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,49935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Value,20402,289,Lower0.5Upper2,11794125,3568,1,95438569.5,159990972,381754278,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17513,2792,7,1,0,0,0,0,0,0,0,0,0,0,0,9,2366,68967,6583086,16094775,2158712,1590,0,0,0,0,0,0,0,0,1,2,6,518,1712,12746,2213597,5410392,429631,4237,9,0,0,0,0,0,0,0,1,0,7,346,45,4036,2949,5567,193,214,15,0,0,0,0,0,0,0,0,0,1,11,787,13977,0,1,1,2,0,0,0,0,0,0,0,0,2,1,108,10,30534,0,0,36,0,0,0,0,0,0,0,0,7,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
