LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
1,Naive,10000,8,Multiplicative 0.08,80000,8,1,37614753.84,40885602,44156450.16,,0,0,0,0,0,0,0,0
1,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40885602,44395201.44,,0,0,0,0,0,0,0,0
1,Vector,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40885602,44395201.44,,0,0,0,0,0,0,0,0
1,Value,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40885602,44395201.44,,0,0,0,0,0,0,0,0
1,SKV,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40885602,44395201.44,,0,0,0,0,0,0,0,0
1,Distance,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40885602,44395201.44,,0,0,0,0,0,0,0,0
1,SKD,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40885602,44395201.44,,0,0,0,0,0,0,0,0
2,Naive,10000,8,Multiplicative 0.08,160000,16,2,37735255.44,41016582,44297908.56,,0,0,0,0,0,0,0,0
2,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,41016582,44395201.44,,0,0,0,0,0,0,0,0
2,SKV,10000,8,Multiplicative 0.08,0,0,0,37818134.56,41016582,44395201.44,,0,0,0,0,0,0,0,0
2,Vector,10000,8,Multiplicative 0.08,0,0,0,37818134.56,41016582,44395201.44,,0,0,0,0,0,0,0,0
2,Value,10000,8,Multiplicative 0.08,0,0,0,37818134.56,41016582,44395201.44,,0,0,0,0,0,0,0,0
2,Distance,10000,8,Multiplicative 0.08,0,0,0,37818134.56,41016582,44395201.44,,0,0,0,0,0,0,0,0
2,SKD,10000,8,Multiplicative 0.08,0,0,0,37818134.56,41016582,44395201.44,,0,0,0,0,0,0,0,0
3,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40864027,44395201.44,,0,0,0,0,0,0,0,0
3,Naive,10000,8,Multiplicative 0.08,240000,24,3,37594904.84,40864027,44133149.16,,0,0,0,0,0,0,0,0
3,SKV,10000,8,Multiplicative 0.08,4,5,0,37818134.56,40864027,44395201.44,,0,0,0,0,0,0,0,0
3,Value,10000,8,Multiplicative 0.08,4,5,0,37818134.56,40864027,44395201.44,,0,0,0,0,0,0,0,0
3,Vector,10000,8,Multiplicative 0.08,40000,5,0,37818134.56,40864027,44395201.44,,0,0,0,0,0,0,0,0
3,Distance,10000,8,Multiplicative 0.08,8,9,0,37818134.56,40864027,44395201.44,,0,0,0,0,0,0,0,0
3,SKD,10000,8,Multiplicative 0.08,8,9,0,37818134.56,40864027,44395201.44,,0,0,0,0,0,0,0,0
4,Naive,10000,8,Multiplicative 0.08,320000,32,4,37421978.88,40676064,43930149.12,,0,0,0,0,0,0,0,0
4,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40676064,44395201.44,,0,0,0,0,0,0,0,0
4,SKV,10000,8,Multiplicative 0.08,10,12,0,37818134.56,40676064,44395201.44,,0,0,0,0,0,0,0,0
4,Value,10000,8,Multiplicative 0.08,8,10,0,37818134.56,40676064,44395201.44,,0,0,0,0,0,0,0,0
4,Vector,10000,8,Multiplicative 0.08,80000,10,0,37818134.56,40676064,44395201.44,,0,0,0,0,0,0,0,0
4,Distance,10000,8,Multiplicative 0.08,16,18,0,37818134.56,40676064,44395201.44,,0,0,0,0,0,0,0,0
4,SKD,10000,8,Multiplicative 0.08,16,19,0,37818134.56,40676064,44395201.44,,0,0,0,0,0,0,0,0
5,Naive,10000,8,Multiplicative 0.08,400000,40,5,37370952.92,40620601,43870249.08,,0,0,0,0,0,0,0,0
5,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40620601,44395201.44,,0,0,0,0,0,0,0,0
5,Value,10000,8,Multiplicative 0.08,20,25,0,37818134.56,40620601,44395201.44,,0,0,0,0,0,0,0,0
5,SKV,10000,8,Multiplicative 0.08,24,29,0,37818134.56,40620601,44395201.44,,0,0,0,0,0,0,0,0
5,Vector,10000,8,Multiplicative 0.08,180000,22,0,37818134.56,40620601,44395201.44,,0,0,0,0,0,0,0,0
5,SKD,10000,8,Multiplicative 0.08,32,37,0,37818134.56,40620601,44395201.44,,0,0,0,0,0,0,0,0
5,Distance,10000,8,Multiplicative 0.08,32,36,0,37818134.56,40620601,44395201.44,,0,0,0,0,0,0,0,0
6,Naive,10000,8,Multiplicative 0.08,480000,48,6,37214078.2,40450085,43686091.8,,0,0,0,0,0,0,0,0
6,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40450085,44395201.44,,0,0,0,0,0,0,0,0
6,Value,10000,8,Multiplicative 0.08,28,35,0,37818134.56,40450085,44395201.44,,0,0,0,0,0,0,0,0
6,SKV,10000,8,Multiplicative 0.08,32,39,0,37818134.56,40450085,44395201.44,,0,0,0,0,0,0,0,0
6,Vector,10000,8,Multiplicative 0.08,220000,27,0,37818134.56,40450085,44395201.44,,0,0,0,0,0,0,0,0
6,Distance,10000,8,Multiplicative 0.08,40,46,0,37818134.56,40450085,44395201.44,,0,0,0,0,0,0,0,0
6,SKD,10000,8,Multiplicative 0.08,40,47,0,37818134.56,40450085,44395201.44,,0,0,0,0,0,0,0,0
7,Naive,10000,8,Multiplicative 0.08,560000,56,7,37090213.08,40315449,43540684.92,,0,0,0,0,0,0,0,0
7,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,SKV,10000,8,Multiplicative 0.08,52,63,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,Value,10000,8,Multiplicative 0.08,52,67,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,Vector,10000,8,Multiplicative 0.08,340000,41,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,SKD,10000,8,Multiplicative 0.08,56,66,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
7,Distance,10000,8,Multiplicative 0.08,56,66,0,37818134.56,40315449,44395201.44,,0,0,0,0,0,0,0,0
8,Naive,10000,8,Multiplicative 0.08,640000,64,8,36989108.76,40205553,43421997.24,,0,0,0,0,0,0,0,0
8,Oracle,10000,8,Multiplicative 0.08,0,0,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,SKV,10000,8,Multiplicative 0.08,74,91,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,Value,10000,8,Multiplicative 0.08,76,99,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,Vector,10000,8,Multiplicative 0.08,440000,53,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
8,Distance,10000,8,Multiplicative 0.08,72,86,0,37818134.56,40205553,44395201.44,,0,0,0,0,0,0,0,0
